Model,Accuracy,Precision,Recall,F1-Score,Matthews,CV Mean,CV Std
random_forest,0.8666666666666667,0.8662222222222223,0.8666666666666667,0.852434988179669,0.7763760752366425,0.8027831213386769,0.036584136223127
logistic,0.8444444444444444,0.885679012345679,0.8444444444444444,0.848994708994709,0.7550584564621806,0.7775846417846417,0.05336510733449021
lightgbm,0.8,0.7790123456790123,0.8,0.7892063492063491,0.6686314269911465,0.8038582908590219,0.050677866049459605
