Model,Train Acc,Test Acc,Precision,Recall,F1 Score,ROC AUC,CV Mean,CV Std
SVM,0.6825396825396826,0.4375,0.5148809523809523,0.4375,0.43141025641025643,0.612767094017094,0.38076923076923075,0.0555292508402762
Random Forest,1.0,0.4375,0.3783482142857143,0.4375,0.40576923076923077,0.6039529914529914,0.5230769230769231,0.052171769100963605
XGBoost,1.0,0.375,0.3125,0.375,0.33461538461538465,0.47126068376068375,0.41410256410256413,0.06607230116269294
LightGBM,0.9841269841269841,0.3125,0.32395833333333335,0.3125,0.2950892857142857,0.49748931623931625,0.47435897435897434,0.09029136852132827
Logistic Regression,0.8412698412698413,0.3125,0.296875,0.3125,0.29383116883116883,0.5096153846153846,0.31538461538461543,0.09150290194900247
Gradient Boosting,1.0,0.25,0.25,0.25,0.25,0.4766559829059829,0.4602564102564103,0.09284034353964961
AdaBoost,0.873015873015873,0.25,0.24151785714285717,0.25,0.24187271062271062,0.5268162393162393,0.44230769230769235,0.06710898629898668
