Model,Train Acc,Test Acc,Precision,Recall,F1 Score,ROC AUC,CV Mean,CV Std
LightGBM,1.0,0.6666666666666666,0.7738095238095238,0.6666666666666666,0.6733821733821733,0.7324074074074074,0.4428571428571429,0.05872698556434015
AdaBoost,0.8529411764705882,0.5,0.5376984126984127,0.5,0.5109126984126984,0.6787037037037037,0.4417582417582417,0.10387958064260636
XGBoost,1.0,0.5,0.55,0.5,0.5,0.6098765432098765,0.41428571428571426,0.11074393571291537
Random Forest,1.0,0.4444444444444444,0.4166666666666667,0.4444444444444444,0.42506265664160403,0.5725308641975307,0.4582417582417582,0.09514224537104773
Gradient Boosting,1.0,0.4444444444444444,0.41161616161616155,0.4444444444444444,0.4222222222222222,0.5740740740740741,0.3824175824175824,0.05219491027269414
SVM,0.6323529411764706,0.3888888888888889,0.5454545454545454,0.3888888888888889,0.37142857142857144,0.5620370370370371,0.45604395604395603,0.055382871069688575
Logistic Regression,0.7352941176470589,0.3888888888888889,0.4236111111111111,0.3888888888888889,0.35586635586635584,0.5929012345679012,0.42857142857142855,0.10699482588692824
